index	x	y
69886	11.0569602267	24.7639272764
51822	21.2932190579	3.07363591694
36421	36.7935317109	-6.52334472739
58705	3.25740958264	-23.3052946294
13058	23.0650242486	-11.7158067326
13059	-18.0090180582	-17.2905320657
41398	-20.8759666167	-14.5079881455
51825	-2.20514111858	-36.1037726461
13052	16.2775186939	20.8343639726
13053	-8.38479511387	-35.597798163
13050	20.2525308964	12.9324028614
13051	21.0133282379	19.2762717326
13056	14.5956302072	-18.1269785464
13057	-10.3021533905	-28.1350143661
13054	-17.2107847509	-15.7112123577
13055	-23.7848365555	-22.2678143557
54170	-8.28031682889	10.2330093135
54171	3.40988194564	28.383064465
54172	-2.84550634163	-31.714070992
54173	23.8364282552	-13.0103533923
54174	-3.38963384746	-10.1675729426
54175	16.7433036076	-23.4517790589
54176	-18.8721128509	10.9135163064
54177	20.7206981567	30.981445008
54178	10.7976947199	27.3151540376
54179	19.6434363873	16.0951791874
51824	22.4297095055	-24.5978486601
62088	37.1149912127	-5.47452114051
62085	11.6141056523	0.638652702916
62084	-19.9122748277	-21.4921331821
62087	-28.9336947404	-2.33671677934
62086	18.9765554699	-30.9178358197
62081	7.66045887384	27.3030107275
62080	1.18880400374	-30.0118199008
62083	20.794152102	16.289481527
62082	-6.56193017675	-24.3045052737
58703	-14.3186943563	19.2028645859
20258	7.52107759022	10.2835790211
20259	19.3336396721	-31.6111392832
56577	35.0886704553	14.3180152536
20252	5.74606358289	2.64495467901
20253	-9.49262334552	-34.0674456878
20250	-10.5045967616	27.8797503805
20251	16.1822748489	20.6736017672
20256	3.04904277632	-5.68863153475
20257	7.92926568868	0.971550558828
20254	3.26007666429	-0.930432820211
20255	-1.04636806223	-35.4226352322
40966	-27.3628543425	-12.4016551534
40967	5.84975232511	33.099472298
40964	13.3072562098	-2.32076909819
40965	21.3081980198	-2.89106145376
29769	13.0358144822	6.87027366472
29768	1.36214479081	0.652816952639
40960	26.1375712328	8.30825841012
40961	22.3747276962	-14.5091884652
29765	2.55665065558	-1.4875434315
29764	4.38674273884	34.5735090861
29767	-8.25961985777	-35.135696522
29766	17.4079163303	-15.0245208923
29761	31.3593939987	2.39115789436
29760	-5.94646249664	-36.6560137672
29763	13.4679949415	27.6833921684
29762	-2.76906440661	-10.198971859
1177	-13.1316000452	-12.9612746339
1176	-11.1926592422	-5.99711622051
1175	2.41048075981	10.3584900214
1174	30.4736924576	-4.50070234919
1173	25.1377771007	-7.05523899069
1172	-14.3234280018	-32.7488571155
1171	-3.71358157276	-1.44353009177
1170	4.58221103605	19.5373769472
23507	20.6504243369	-14.7531920828
23506	-2.60073609296	-36.3709360488
23505	-4.6322609761	12.3056835025
23504	39.4612677087	9.54437205112
16883	-5.88693107347	-29.2126651982
23502	-7.00939811675	10.7991518083
1179	2.0219882182	1.99115221324
1178	23.1310753608	-4.64259525179
40328	-7.80391163827	-2.86893225279
27619	39.5655152677	9.59819884802
27618	-12.5118436322	2.08252018282
27617	12.5373853439	7.21468970892
27616	-5.60123746149	-6.87031724776
27615	16.4165409275	-0.404138630987
27614	-6.70803588378	9.17936705465
27613	-18.1548569025	-15.6006210559
27612	2.08395481638	-3.0535185964
27611	32.2902552626	-11.2291686531
