id	externalId
324	21918632
325	6254878
326	45381692
327	44421969
328	357186
329	2162986
330	5224
331	167599
332	38703518
333	33028800
334	57585
335	48218941
336	284676
337	43021426
338	46784348
339	42579581
340	39345917
341	47830492
342	45266920
343	39437135
344	10565718
345	33029735
346	36023964
347	297111
348	41934853
349	216072
350	18436536
351	490101
352	32511701
353	30043437
354	48845008
355	123417
356	129644
357	46762046
358	12292280
359	179825
360	30361
361	24642031
362	44684319
363	1655812
364	37052715
365	31232694
366	38337190
367	461322
368	454208
369	40038204
370	37731694
371	2312056
372	40008434
373	667368
374	3903364
375	29943
376	15593618
377	39416675
378	48863911
379	26586461
380	37599043
381	89631
382	30273553
383	1897341
384	48758885
385	29454281
386	43884224
387	9294
388	41890130
389	35307857
390	5794648
391	1336308
392	43867112
393	39393760
394	167857
395	48662656
396	48458926
397	34086866
398	40740387
399	2887437
400	27279709
401	42065424
402	379018
403	44010725
404	39159786
405	45448178
406	43787961
407	54166
408	22358819
409	461563
410	39552783
411	29446866
412	370064
413	22729553
414	43633622
415	993791
416	3700174
417	695780
418	40672
419	2969247
420	42965311
421	44045542
422	25491
423	145892
424	38927316
425	46372425
426	23524192
427	406339
428	22144721
429	34429259
430	21843425
431	47124526
432	19596597
433	4597853
434	49617018
435	30871261
436	27372372
437	982480
438	37501742
439	55601
440	1082656
441	17671802
442	47336738
443	33509716
444	17574075
445	9834441
446	37584615
447	27645834
448	43611227
449	34541698
450	1287385
451	20927392
452	12004
453	2724049
454	36885907
455	3028191
456	11312191
457	43967340
458	702117
459	11055577
460	13049327
461	293524
462	407591
463	35056679
464	30582
465	277667
466	52390
467	483274
468	2829485
469	321496
470	48764126
471	38357478
472	43686355
473	2619910
474	1241914
475	548259
476	39536272
477	188902
478	44501
479	32323513
480	39663898
481	30809
482	41919736
483	55720
484	210998
485	1138675
486	3830281
487	26224556
488	1509817
489	32832973
490	1134919
491	2465576
492	41870063
493	34953010
494	171562
495	39306741
496	219712
497	24630747
498	5971538
499	15233369
500	255049
501	972958
502	40171928
503	481649
504	45086775
505	2308701
506	49030761
507	42135879
508	675935
509	44062548
510	2056480
511	407288
512	97646
513	47415762
514	43452
515	43855802
516	47327116
517	44787669
518	73425
519	142463
520	4902239
521	564947
522	734207
523	29273565
524	147697
525	3723947
526	3326078
527	25080984
528	25244870
529	43718681
530	46713595
531	40530064
532	21113228
533	45629044
534	73441
535	535335
536	12767159
537	30294906
538	11862690
539	43465362
540	46294117
541	877743
542	4836239
543	44302
544	41457397
545	195246
546	41910273
547	30575
548	3517536
549	20996974
550	16074507
551	442308
552	3383952
553	36534974
554	47133788
555	39376307
556	20181491
557	8425661
558	18618306
559	171623
560	42367337
561	40867822
562	19062669
563	268833
564	35737961
565	133648
566	143809
567	43993637
568	2311219
569	27891311
570	13670373
571	45360934
572	96893
573	28623
574	5429993
575	48901632
576	27694404
577	27070440
578	39358996
579	26761606
580	35249972
581	1210303
582	26742350
583	4558294
584	5920611
585	35729649
586	42092610
587	1355085
588	42910842
589	46405518
590	1945359
591	76030
592	42579539
593	37053250
594	45462608
595	1252914
596	5017604
597	855797
598	3610087
599	29097142
600	376228
601	44519131
602	1519783
603	447299
604	29769606
605	41745533
606	180785
607	45453035
608	44786202
609	13149
610	33539859
611	2236329
612	1190931
613	302970
614	232711
615	47503332
616	129368
617	304692
618	1319356
619	471544
620	17298868
621	17016725
622	592297
623	243204
624	3793631
625	17927503
626	24366494
627	31201599
628	1072075
629	39283376
630	262465
631	37509951
632	47182601
633	203841
634	30340901
635	871056
636	433414
637	46865977
638	49733603
639	37086759
640	68245
641	4760936
642	39591044
643	8586619
644	957359
645	707808
646	156644
647	142049
648	21835208
649	348737
650	21939688
651	6399993
652	113460
653	45645343
654	43903351
655	142443
656	39563460
657	31153
658	536009
659	35370504
660	29942
661	443556
662	450141
663	156745
664	9395068
665	22933412
666	12925911
667	41188920
668	42979527
669	670226
670	43719778
671	51888
672	38709842
673	44256011
674	43866447
675	30553238
676	129619
677	473086
678	37376866
679	1485962
680	31330546
681	146077
682	23766166
683	16093980
684	16963505
685	44625719
686	25854460
687	369682
688	38847197
689	106344
690	39359027
691	36825527
692	92689
693	612052
694	46532873
695	24570673
696	460052
697	957322
698	33276254
699	29267698
700	38964482
701	43596331
702	105872
703	4453691
704	51906
705	2331662
706	81503
707	2643692
708	35816879
709	26107567
710	44202021
711	615121
712	43566
713	89793
714	7920068
715	1488066
716	20926377
717	36137173
718	8432450
719	34004505
720	39484957
721	1363708
722	362719
723	39565316
724	342692
725	47179994
726	39841795
727	106117
728	20319956
729	43601234
730	39562051
731	445066
732	48976011
733	39720840
734	513149
735	441926
736	35460624
737	37671576
738	11942501
739	4295195
740	673599
741	93559
742	10597978
743	407178
744	37586832
745	49531921
746	35313233
747	45409272
748	3565461
749	213251
750	166813
751	1976777
752	564986
753	637256
754	18057739
755	43791914
756	1037237
757	1129847
758	26971354
759	25462974
760	4167411
761	4802267
762	45640705
763	1065214
764	39181971
765	402866
766	37313681
767	23652051
768	71415
769	1930290
770	7074043
771	142465
772	2571604
773	28722503
774	10825132
775	76617
776	11659396
777	34604057
778	235418
779	21234681
780	2976107
781	3444797
782	27588976
783	41716245
784	38383904
785	41583061
786	23438736
787	3842730
788	5729
789	2572919
790	10215404
791	1267713
792	48106993
793	36615611
794	35304421
795	7927053
796	3615041
797	4440277
798	58865
799	5443971
800	676909
801	24195690
802	32612875
803	633692
804	39497424
805	598868
806	4265347
807	36724342
808	30069822
809	50744
810	42856
811	104984
812	44093914
813	337740
814	31371
815	490623
816	1428132
817	31462588
818	4138142
819	443972
820	11639895
821	739286
822	30952655
823	47233684
824	42833412
825	146236
826	5292920
827	30470648
828	11577392
829	37900503
830	331586
831	1052133
832	101899
833	44372993
834	9361524
835	3592692
836	42050889
837	142327
838	34222772
839	901421
840	1814329
841	43389156
842	166121
843	153435
844	142481
845	1683515
846	24473950
847	31009222
848	30892578
849	47925584
850	202652
851	71975
852	213270
853	20179415
854	452767
855	54030
856	468293
857	397574
858	648216
859	626067
860	49030493
861	76331
862	24228929
863	44633652
864	9830229
865	3557540
866	24314116
867	48975594
868	1749535
869	61184
870	6469252
871	452017
872	133574
873	304428
874	41356789
875	38997095
876	600235
877	31724592
878	53964
879	19787914
880	43407351
881	45165143
882	88326
883	709510
884	33668481
885	44377519
886	442300
887	30127126
888	22327149
889	32071439
890	33572843
891	305909
892	3239688
893	234537
894	20450767
895	4899791
896	488484
897	28397585
898	16733548
899	39427794
900	431562
901	1988806
902	15161999
903	181229
904	25506
905	27429073
906	39831088
907	31147066
908	44301876
909	3006708
910	20777420
911	28880684
912	55325
913	49027117
914	8695
915	48919161
916	20898157
917	3479886
918	21180
919	12500476
920	3186725
921	13053911
922	27383563
923	3947
924	7051491
925	714334
926	2528212
927	34599243
928	35960803
929	24341999
930	3618333
931	673274
932	37935799
933	33651094
934	286544
935	32252
936	164754
937	44598712
938	473273
939	43742204
940	39502001
941	299490
942	14725310
943	33280854
944	37864037
945	3326231
946	41430453
947	583932
948	42512150
949	44105259
950	31960682
951	45355596
952	29542934
953	31306385
954	369508
955	213413
956	99123
957	1094719
958	29785
959	503573
960	31905391
961	142224
962	38739295
963	43428754
964	165289
965	13239722
966	1173571
967	43990735
968	142447
969	10304105
970	46434536
971	14199592
972	231829
973	42234012
974	49157034
975	38850565
976	98991
977	155997
978	689763
979	42987583
980	13713239
981	39483010
982	1995696
983	106262
984	19024526
985	101954
986	92605
987	204019
988	17260746
989	46505847
990	9939796
991	1519350
992	35300735
993	45396948
994	32330027
995	14610495
996	535971
997	24522644
998	15615865
999	538455
